Linear_Acceleration.x,Linear_Acceleration.y,Linear_Acceleration.z,Rotation_Vector.x,Rotation_Vector.y,Rotation_Vector.z,GPS.lat,GPS.long,GPS.alt
-0.13269205,-0.19171,-0.7909174,0.075673796,0.12773477,0.8890921,13.01735501,77.56816829,857
0.25634217,-0.078060865,-1.1857882,0.08119453,0.12681483,0.88900304,13.01735501,77.56816829,857
0.1649045,0.2187705,-1.3884859,0.08890362,0.12548195,0.8887784,13.01735501,77.56816829,857
-0.070458055,0.27933168,-1.4585552,0.090875566,0.1252663,0.88869756,13.01735501,77.56816829,857
-0.6218851,0.2445128,-1.3861942,0.094568186,0.12482295,0.88854754,13.01735501,77.56816829,857
-0.6305139,0.28377247,-1.1048717,0.0958318,0.12442516,0.8888506,13.01735501,77.56816829,857
-0.4438601,0.4189129,-0.9400301,0.097058326,0.12388338,0.8891789,13.01735501,77.56816829,857
-0.26771438,0.5038798,-0.84859943,0.09839173,0.12329165,0.8896273,13.01735501,77.56816829,857
-0.035272837,0.6124656,-0.39494038,0.100557804,0.12206916,0.8902665,13.01735501,77.56816829,857
0.21845973,0.610816,-0.29374027,0.102205135,0.12106279,0.8906774,13.01735501,77.56816829,857
0.49908942,0.63107467,-0.32026482,0.10392326,0.12008085,0.89092815,13.01735501,77.56816829,857
0.5421766,0.53976226,-0.5000372,0.10535809,0.11923746,0.8911563,13.01735501,77.56816829,857
0.26286036,0.389143,-0.0670681,0.1062199,0.11833972,0.8912878,13.01735501,77.56816829,857
0.18094927,0.44410157,0.28591347,0.10662268,0.11728096,0.89152193,13.01735501,77.56816829,857
-0.06243986,0.6660278,1.0534735,0.1076012,0.11591791,0.89167273,13.01735501,77.56816829,857
-0.1402148,0.49240565,0.75426865,0.10887143,0.115697816,0.8915815,13.01735501,77.56816829,857
-0.2138949,0.39097023,0.2785988,0.11038058,0.11632401,0.8914558,13.01735501,77.56816829,857
-0.020784616,0.54463124,0.004635811,0.112942465,0.11867992,0.89098215,13.01735501,77.56816829,857
0.11655104,0.555778,-1.3063498,0.11555352,0.12215529,0.89027834,13.01735501,77.56816829,857
-0.07396662,0.5038314,-1.9230003,0.11629569,0.124577284,0.88986796,13.01735501,77.56816829,857
-0.34892797,0.48268223,-2.1411076,0.11585236,0.12667502,0.8895434,13.01735501,77.56816829,857
-0.61518157,0.5432155,-1.7743073,0.114355534,0.12807539,0.889546,13.01735501,77.56816829,857
-0.9863735,0.61081815,-1.3964539,0.11225057,0.12857042,0.889766,13.01735501,77.56816829,857
-1.0551989,0.48846722,-0.87354755,0.10990883,0.1280279,0.89041984,13.01735501,77.56816829,857
-0.8611506,0.40630817,-0.1727972,0.10765326,0.12658544,0.89125556,13.01735501,77.56816829,857
-0.50673324,0.48071408,0.5566664,0.105698876,0.124832064,0.89230067,13.01735501,77.56816829,857
-0.09579128,0.3473029,1.0506334,0.10424637,0.12163396,0.8936339,13.01735501,77.56816829,857
-0.114118695,0.40577316,1.1610909,0.104320355,0.119660735,0.89445525,13.01735501,77.56816829,857
